Pays	Capitale	Continent
Afghanistan	Kaboul	Asie
Afrique du Sud	Pretoria (capitale administrative), Le Cap (capitale législative), Bloemfontein (capitale judiciaire)	Afrique
Albanie	Tirana	Europe
Algérie	Alger	Afrique
Allemagne	Berlin	Europe
Andorre	Andorre-la-Vieille	Europe
Angola	Luanda	Afrique
Antigua-et-Barbuda	Saint John's	Amérique
Arabie Saoudite	Riyad	Asie
Argentine	Buenos Aires	Amérique
Arménie	Erevan	Asie
Australie	Canberra	Océanie
Autriche	Vienne	Europe
Azerbaïdjan	Bakou	Asie
Bahamas	Nassau	Amérique
Bahreïn	Manama	Asie
Bangladesh	Dacca	Asie
Barbade	Bridgetown	Amérique
Belau (Palaos)	Melekeok	Océanie
Belgique	Bruxelles	Europe
Belize	Belmopan	Amérique
Bénin	Porto-Novo	Afrique
Bhoutan	Thimphou	Asie
Biélorussie (Bélarus)	Minsk	Europe
Birmanie (Myanmar)	Naypyidaw	Asie
Bolivie	La Paz (capitale administrative), Sucre (capitale constitutionnelle)	Amérique
Bosnie-Herzégovine	Sarajevo	Europe
Botswana	Gaborone	Afrique
Brésil	Brasilia	Amérique
Brunei	Bandar Seri Begawan	Asie
Bulgarie	Sofia	Europe
Burkina Faso	Ouagadougou	Afrique
Burundi	Bujumbura	Afrique
Cabo Verde (Cap-Vert)	Praia	Afrique
Cambodge	Phnom Penh	Asie
Cameroun	Yaoundé	Afrique
Canada	Ottawa	Amérique
République centrafricaine	Bangui	Afrique
Chili	Santiago	Amérique
Chine	Pékin	Asie
Chypre	Nicosie	Asie/Europe
Colombie	Bogotá	Amérique
Pays	Capitale	Continent
Danemark	Copenhague	Europe
Djibouti	Djibouti	Afrique
Dominique	Roseau	Amérique
Égypte	Le Caire	Afrique
Émirats arabes unis	Abou Dabi	Asie
Équateur	Quito	Amérique
Érythrée	Asmara	Afrique
Espagne	Madrid	Europe
Estonie	Tallinn	Europe
Éthiopie	Addis-Abeba	Afrique
Fidji	Suva	Océanie
Finlande	Helsinki	Europe
France	Paris	Europe
Gabon	Libreville	Afrique
Gambie	Banjul	Afrique
Géorgie	Tbilissi	Asie/Europe
Ghana	Accra	Afrique
Grèce	Athènes	Europe
Grenade	Saint-Georges	Amérique
Guatemala	Guatemala	Amérique
Guinée	Conakry	Afrique
